Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
4138,Ram Aircraft Corporation,null,,RMT,RAM FLIGHT,United States,N
4139,Ramp 66,null,,PPK,PELICAN,United States,N
4140,Rangemile Limited,null,,RGM,RANGEMILE,United Kingdom,N
4141,Raslan Air Service,null,,MWR,RASLAN,Egypt,N
4142,Rath Aviaton,null,,RAQ,RATH AVIATION,Austria,N
4143,Ratkhan Air,null,,CSM,LORRY,Kazakhstan,N
4144,Raven Air,null,,RVR,RAVEN,United Kingdom,N
4145,Raven Air,null,,RVN,RAVEN U-S,United States,N
4146,Ray Aviation,null,,REI,RAY AVIATION,Israel,N
4147,Raya Jet,null,,RYT,,Jordan,N
4148,Raytheon Aircraft Company,null,,RTN,RAYTHEON,United States,N
4149,Raytheon Corporate Jets,null,,RCJ,NEWPIN,United Kingdom,N
4150,Raytheon Travel Air,null,,KSS,KANSAS,United States,N
4151,Real Aero Club De Baleares,null,,RCB,BALEARES,Spain,N
4152,Real Aero Club de Reus-Costa Dorado,null,,CDT,AEROREUS,Spain,N
4153,Real Aeroclub De Ternerife,null,,RCD,AEROCLUB,Spain,N
4154,Real Aviation,null,,RLV,REAL,Ghana,N
4155,Rebus,null,,REB,REBUS,Bulgaria,N
4156,Red Aviation,null,,PSH,PASSION,United Kingdom,N
4157,Red Baron Aviation,null,,RBN,RED BARON,United States,N
4158,Red Devils Parachute Display Team,null,,DEV,RED DEVILS,United Kingdom,N
4159,Red Sea Aviation,null,,RDV,RED AVIATION,Egypt,N
4160,Red Sky Ventures,null,,RSV,RED SKY,Namibia,N
4161,Red Star,null,,STR,STARLINE,United Arab Emirates,N
4162,Redhill Aviation,null,8L,RHC,REDAIR,United Kingdom,N
4163,Reed Aviation,null,,RAV,REED AVIATION,United Kingdom,N
4164,Reef Air,null,,REF,REEF AIR,New Zealand,N
4165,Reem Air,null,V4,REK,REEM AIR,Kyrgyzstan,N
4166,Reeve Aleutian Airways,null,,RVV,REEVE,United States,N
4167,Regal Bahamas International Airways,null,,RBH,CALYPSO,Bahamas,N
4168,Regency Airlines,null,,RGY,REGENCY,United States,N
4169,Regent Air,null,,RAH,REGENT,Canada,N
4170,Regio Air,null,,RAG,GERMAN LINK,Germany,N
4171,Region Air,null,,RGR,REGIONAIR,Canada,N
4172,Regional 1,null,,TSH,TRANSCANADA,Canada,N
4173,Regional Air,null,,RIL,,Mauritania,N
4174,Regional Air Express,null,,REW,REGIONAL WINGS,Germany,N
4175,Regional Air Lines,null,,RGL,MAROC REGIONAL,Morocco,N
4176,Regional Air Services,null,,REG,REGIONAL SERVICES,Tanzania,N
4177,Regional Airlines,null,FN,,,Morocco,Y
4178,Regional Express,null,ZL,RXA,REX,Australia,Y
4179,Regional Geodata Air,null,,JJM,GEODATA,Spain,N
4180,RegionsAir,null,3C,CEA,CORP-X,United States,N
4181,Reliance Aviation,null,,REL,RELIANCE AIR,United States,N
4182,Reliant Airlines,null,,RLT,RELIANT,United States,N
4183,Relief Transport Services,null,,RTS,RELIEF,United Kingdom,N
4184,Renan,null,,RAN,RENAN,Moldova,N
4185,Reno Air,null,QQ,ROA,RENO AIR,United States,N
4186,Renown Aviation,null,,RGS,RENOWN,United States,N
4187,Republic Airlines,null,RW,RPA,BRICKYARD,United States,Y
4188,Republic Express Airlines,null,RH,RPH,PUBLIC EXPRESS,Indonesia,Y
